 Mesh
 Dimension:            3
 Lx =    1.00000000     ; Ly =    1.00000000     ; Lz =    1.00000000    
 Nx =            3 ; Ny =            3 ; Nz =            3
 Nodes: 
 Node            1 ; X:    0.00000000     ; Y:    0.00000000     ; Z:    0.00000000    
 Node            2 ; X:    0.00000000     ; Y:    0.00000000     ; Z:   0.166666672    
 Node            3 ; X:    0.00000000     ; Y:    0.00000000     ; Z:   0.500000000    
 Node            4 ; X:    0.00000000     ; Y:    0.00000000     ; Z:   0.833333373    
 Node            5 ; X:    0.00000000     ; Y:    0.00000000     ; Z:    1.00000000    
 Node            6 ; X:    0.00000000     ; Y:   0.166666672     ; Z:    0.00000000    
 Node            7 ; X:    0.00000000     ; Y:   0.166666672     ; Z:   0.166666672    
 Node            8 ; X:    0.00000000     ; Y:   0.166666672     ; Z:   0.500000000    
 Node            9 ; X:    0.00000000     ; Y:   0.166666672     ; Z:   0.833333373    
 Node           10 ; X:    0.00000000     ; Y:   0.166666672     ; Z:    1.00000000    
 Node           11 ; X:    0.00000000     ; Y:   0.500000000     ; Z:    0.00000000    
 Node           12 ; X:    0.00000000     ; Y:   0.500000000     ; Z:   0.166666672    
 Node           13 ; X:    0.00000000     ; Y:   0.500000000     ; Z:   0.500000000    
 Node           14 ; X:    0.00000000     ; Y:   0.500000000     ; Z:   0.833333373    
 Node           15 ; X:    0.00000000     ; Y:   0.500000000     ; Z:    1.00000000    
 Node           16 ; X:    0.00000000     ; Y:   0.833333373     ; Z:    0.00000000    
 Node           17 ; X:    0.00000000     ; Y:   0.833333373     ; Z:   0.166666672    
 Node           18 ; X:    0.00000000     ; Y:   0.833333373     ; Z:   0.500000000    
 Node           19 ; X:    0.00000000     ; Y:   0.833333373     ; Z:   0.833333373    
 Node           20 ; X:    0.00000000     ; Y:   0.833333373     ; Z:    1.00000000    
 Node           21 ; X:    0.00000000     ; Y:    1.00000000     ; Z:    0.00000000    
 Node           22 ; X:    0.00000000     ; Y:    1.00000000     ; Z:   0.166666672    
 Node           23 ; X:    0.00000000     ; Y:    1.00000000     ; Z:   0.500000000    
 Node           24 ; X:    0.00000000     ; Y:    1.00000000     ; Z:   0.833333373    
 Node           25 ; X:    0.00000000     ; Y:    1.00000000     ; Z:    1.00000000    
 Node           26 ; X:   0.166666672     ; Y:    0.00000000     ; Z:    0.00000000    
 Node           27 ; X:   0.166666672     ; Y:    0.00000000     ; Z:   0.166666672    
 Node           28 ; X:   0.166666672     ; Y:    0.00000000     ; Z:   0.500000000    
 Node           29 ; X:   0.166666672     ; Y:    0.00000000     ; Z:   0.833333373    
 Node           30 ; X:   0.166666672     ; Y:    0.00000000     ; Z:    1.00000000    
 Node           31 ; X:   0.166666672     ; Y:   0.166666672     ; Z:    0.00000000    
 Node           32 ; X:   0.166666672     ; Y:   0.166666672     ; Z:   0.166666672    
 Node           33 ; X:   0.166666672     ; Y:   0.166666672     ; Z:   0.500000000    
 Node           34 ; X:   0.166666672     ; Y:   0.166666672     ; Z:   0.833333373    
 Node           35 ; X:   0.166666672     ; Y:   0.166666672     ; Z:    1.00000000    
 Node           36 ; X:   0.166666672     ; Y:   0.500000000     ; Z:    0.00000000    
 Node           37 ; X:   0.166666672     ; Y:   0.500000000     ; Z:   0.166666672    
 Node           38 ; X:   0.166666672     ; Y:   0.500000000     ; Z:   0.500000000    
 Node           39 ; X:   0.166666672     ; Y:   0.500000000     ; Z:   0.833333373    
 Node           40 ; X:   0.166666672     ; Y:   0.500000000     ; Z:    1.00000000    
 Node           41 ; X:   0.166666672     ; Y:   0.833333373     ; Z:    0.00000000    
 Node           42 ; X:   0.166666672     ; Y:   0.833333373     ; Z:   0.166666672    
 Node           43 ; X:   0.166666672     ; Y:   0.833333373     ; Z:   0.500000000    
 Node           44 ; X:   0.166666672     ; Y:   0.833333373     ; Z:   0.833333373    
 Node           45 ; X:   0.166666672     ; Y:   0.833333373     ; Z:    1.00000000    
 Node           46 ; X:   0.166666672     ; Y:    1.00000000     ; Z:    0.00000000    
 Node           47 ; X:   0.166666672     ; Y:    1.00000000     ; Z:   0.166666672    
 Node           48 ; X:   0.166666672     ; Y:    1.00000000     ; Z:   0.500000000    
 Node           49 ; X:   0.166666672     ; Y:    1.00000000     ; Z:   0.833333373    
 Node           50 ; X:   0.166666672     ; Y:    1.00000000     ; Z:    1.00000000    
 Node           51 ; X:   0.500000000     ; Y:    0.00000000     ; Z:    0.00000000    
 Node           52 ; X:   0.500000000     ; Y:    0.00000000     ; Z:   0.166666672    
 Node           53 ; X:   0.500000000     ; Y:    0.00000000     ; Z:   0.500000000    
 Node           54 ; X:   0.500000000     ; Y:    0.00000000     ; Z:   0.833333373    
 Node           55 ; X:   0.500000000     ; Y:    0.00000000     ; Z:    1.00000000    
 Node           56 ; X:   0.500000000     ; Y:   0.166666672     ; Z:    0.00000000    
