 Lx =    1.00000000     ; Ly =    1.00000000     ; Lz =    1.00000000    
 Nx =            5 ; Ny =            5 ; Nz =            5
 Element           1 ; Center Coordinates:   0.100000001      0.100000001      0.100000001    
  
 Scalar            1 ; Coordinates:   0.100000001      0.100000001      0.100000001    
 Scalar            2 ; Coordinates:    0.00000000       0.00000000       0.00000000    
 Scalar            3 ; Coordinates:    0.00000000       0.00000000      0.100000001    
 Scalar            4 ; Coordinates:    0.00000000      0.100000001       0.00000000    
 Scalar            5 ; Coordinates:   0.100000001       0.00000000       0.00000000    
 Scalar            6 ; Coordinates:    0.00000000      0.100000001      0.100000001    
 Scalar            7 ; Coordinates:   0.100000001       0.00000000      0.100000001    
 Scalar            8 ; Coordinates:   0.100000001      0.100000001       0.00000000    
  
 Vector            1 ; Coordinates:    0.00000000      0.100000001      0.100000001    
 Vector            2 ; Coordinates:   0.200000003      0.100000001      0.100000001    
 Vector            3 ; Coordinates:   0.100000001       0.00000000      0.100000001    
 Vector            4 ; Coordinates:   0.100000001      0.200000003      0.100000001    
 Vector            5 ; Coordinates:   0.100000001      0.100000001       0.00000000    
 Vector            6 ; Coordinates:   0.100000001      0.100000001      0.200000003    
  
 ----------------------------------------------------------------
 Element           2 ; Center Coordinates:   0.100000001      0.100000001      0.300000012    
  
 Scalar            1 ; Coordinates:   0.100000001      0.100000001      0.300000012    
 Scalar            2 ; Coordinates:    0.00000000       0.00000000      0.300000012    
 Scalar            3 ; Coordinates:    0.00000000      0.100000001      0.300000012    
 Scalar            4 ; Coordinates:   0.100000001       0.00000000      0.300000012    
  
 Vector            1 ; Coordinates:    0.00000000      0.100000001      0.300000012    
 Vector            2 ; Coordinates:   0.200000003      0.100000001      0.300000012    
 Vector            3 ; Coordinates:   0.100000001       0.00000000      0.300000012    
 Vector            4 ; Coordinates:   0.100000001      0.200000003      0.300000012    
 Vector            5 ; Coordinates:   0.100000001      0.100000001      0.200000003    
 Vector            6 ; Coordinates:   0.100000001      0.100000001      0.400000006    
  
 ----------------------------------------------------------------
 Element           3 ; Center Coordinates:   0.100000001      0.100000001      0.500000000    
  
 Scalar            1 ; Coordinates:   0.100000001      0.100000001      0.500000000    
 Scalar            2 ; Coordinates:    0.00000000       0.00000000      0.500000000    
 Scalar            3 ; Coordinates:    0.00000000      0.100000001      0.500000000    
 Scalar            4 ; Coordinates:   0.100000001       0.00000000      0.500000000    
  
 Vector            1 ; Coordinates:    0.00000000      0.100000001      0.500000000    
 Vector            2 ; Coordinates:   0.200000003      0.100000001      0.500000000    
 Vector            3 ; Coordinates:   0.100000001       0.00000000      0.500000000    
 Vector            4 ; Coordinates:   0.100000001      0.200000003      0.500000000    
 Vector            5 ; Coordinates:   0.100000001      0.100000001      0.400000006    
 Vector            6 ; Coordinates:   0.100000001      0.100000001      0.600000024    
  
 ----------------------------------------------------------------
 Element           4 ; Center Coordinates:   0.100000001      0.100000001      0.699999988    
  
 Scalar            1 ; Coordinates:   0.100000001      0.100000001      0.699999988    
 Scalar            2 ; Coordinates:    0.00000000       0.00000000      0.699999988    
 Scalar            3 ; Coordinates:    0.00000000      0.100000001      0.699999988    
 Scalar            4 ; Coordinates:   0.100000001       0.00000000      0.699999988    
  
 Vector            1 ; Coordinates:    0.00000000      0.100000001      0.699999988    
 Vector            2 ; Coordinates:   0.200000003      0.100000001      0.699999988    
 Vector            3 ; Coordinates:   0.100000001       0.00000000      0.699999988    
 Vector            4 ; Coordinates:   0.100000001      0.200000003      0.699999988    
 Vector            5 ; Coordinates:   0.100000001      0.100000001      0.600000024    
 Vector            6 ; Coordinates:   0.100000001      0.100000001      0.800000012    
  
 ----------------------------------------------------------------
 Element           5 ; Center Coordinates:   0.100000001      0.100000001      0.900000036    
  
 Scalar            1 ; Coordinates:   0.100000001      0.100000001      0.900000036    
 Scalar            2 ; Coordinates:    0.00000000       0.00000000       1.00000000    
 Scalar            3 ; Coordinates:    0.00000000       0.00000000      0.900000036    
 Scalar            4 ; Coordinates:    0.00000000      0.100000001       1.00000000    
 Scalar            5 ; Coordinates:   0.100000001       0.00000000       1.00000000    
 Scalar            6 ; Coordinates:    0.00000000      0.100000001      0.900000036    
 Scalar            7 ; Coordinates:   0.100000001       0.00000000      0.900000036    
 Scalar            8 ; Coordinates:   0.100000001      0.100000001       0.00000000    
  
 Vector            1 ; Coordinates:    0.00000000      0.100000001      0.900000036    
 Vector            2 ; Coordinates:   0.200000003      0.100000001      0.900000036    
 Vector            3 ; Coordinates:   0.100000001       0.00000000      0.900000036    
 Vector            4 ; Coordinates:   0.100000001      0.200000003      0.900000036    
 Vector            5 ; Coordinates:   0.100000001      0.100000001      0.800000012    
 Vector            6 ; Coordinates:   0.100000001      0.100000001       1.00000000    
  
 ----------------------------------------------------------------
 Element           6 ; Center Coordinates:   0.100000001      0.300000012      0.100000001    
  
 Scalar            1 ; Coordinates:   0.100000001      0.300000012      0.100000001    
 Scalar            2 ; Coordinates:    0.00000000      0.300000012       0.00000000    
 Scalar            3 ; Coordinates:    0.00000000      0.300000012      0.100000001    
 Scalar            4 ; Coordinates:   0.100000001      0.300000012       0.00000000    
  
 Vector            1 ; Coordinates:    0.00000000      0.300000012      0.100000001    
 Vector            2 ; Coordinates:   0.200000003      0.300000012      0.100000001    
 Vector            3 ; Coordinates:   0.100000001      0.200000003      0.100000001    
 Vector            4 ; Coordinates:   0.100000001      0.400000006      0.100000001    
 Vector            5 ; Coordinates:   0.100000001      0.300000012       0.00000000    
 Vector            6 ; Coordinates:   0.100000001      0.300000012      0.200000003    
  
 ----------------------------------------------------------------
 Element           7 ; Center Coordinates:   0.100000001      0.300000012      0.300000012    
  
 Scalar            1 ; Coordinates:   0.100000001      0.300000012      0.300000012    
 Scalar            2 ; Coordinates:    0.00000000      0.300000012      0.300000012    
  
 Vector            1 ; Coordinates:    0.00000000      0.300000012      0.300000012    
 Vector            2 ; Coordinates:   0.200000003      0.300000012      0.300000012    
 Vector            3 ; Coordinates:   0.100000001      0.200000003      0.300000012    
 Vector            4 ; Coordinates:   0.100000001      0.400000006      0.300000012    
 Vector            5 ; Coordinates:   0.100000001      0.300000012      0.200000003    
 Vector            6 ; Coordinates:   0.100000001      0.300000012      0.400000006    
  
 ----------------------------------------------------------------
 Element           8 ; Center Coordinates:   0.100000001      0.300000012      0.500000000    
  
 Scalar            1 ; Coordinates:   0.100000001      0.300000012      0.500000000    
 Scalar            2 ; Coordinates:    0.00000000      0.300000012      0.500000000    
  
 Vector            1 ; Coordinates:    0.00000000      0.300000012      0.500000000    
 Vector            2 ; Coordinates:   0.200000003      0.300000012      0.500000000    
 Vector            3 ; Coordinates:   0.100000001      0.200000003      0.500000000    
 Vector            4 ; Coordinates:   0.100000001      0.400000006      0.500000000    
 Vector            5 ; Coordinates:   0.100000001      0.300000012      0.400000006    
 Vector            6 ; Coordinates:   0.100000001      0.300000012      0.600000024    
  
 ----------------------------------------------------------------
 Element           9 ; Center Coordinates:   0.100000001      0.300000012      0.699999988    
  
 Scalar            1 ; Coordinates:   0.100000001      0.300000012      0.699999988    
 Scalar            2 ; Coordinates:    0.00000000      0.300000012      0.699999988    
  
 Vector            1 ; Coordinates:    0.00000000      0.300000012      0.699999988    
 Vector            2 ; Coordinates:   0.200000003      0.300000012      0.699999988    
 Vector            3 ; Coordinates:   0.100000001      0.200000003      0.699999988    
